状态,学号,时间,姓名,本次题目数量,知识点和对应题目数量,做对题目数量
1,8208190406,08:34:26,王瑛,13,多分支结构:4、程序的顺序结构:0、双分支结构:9、,0
2,8208190406,08:47:48,王瑛,12,0,11
1,8208190406,08:50:05,王瑛,13,双分支结构:9、多分支结构:4、,0
2,8208190406,08:51:32,王瑛,12,0,11
1,8208190406,08:52:11,王瑛,13,双分支结构:9、多分支结构:4、,0
2,8208190406,08:53:08,王瑛,12,0,12
1,8208190406,08:55:15,王瑛,6,分支结构的嵌套:1、单分支结构:5、,0
2,8208190406,08:57:57,王瑛,5,0,4
1,8208190406,08:58:29,王瑛,6,分支结构的嵌套:1、单分支结构:5、,0
2,8208190406,08:58:40,王瑛,5,0,4
1,8208190406,08:59:17,王瑛,6,分支结构的嵌套:1、单分支结构:5、,0
2,8208190406,08:59:27,王瑛,5,0,5
1,8208190406,09:01:26,王瑛,3,程序的异常处理:3、,0
2,8208190406,09:02:22,王瑛,3,0,2
1,8208190406,09:02:27,王瑛,3,程序的异常处理:3、,0
2,8208190406,09:02:35,王瑛,3,0,2
1,8208190406,09:02:39,王瑛,3,程序的异常处理:3、,0
2,8208190406,09:02:44,王瑛,3,0,3
1,8208190406,09:03:33,王瑛,10,程序的循环结构:10、,0
2,8208190406,09:10:30,王瑛,10,0,8
1,8208190406,09:13:28,王瑛,9,程序的循环结构:9、,0
2,8208190406,09:16:31,王瑛,9,0,9
1,8208190406,09:17:14,王瑛,9,程序的循环结构:9、,0
2,8208190406,09:18:01,王瑛,8,0,7
1,8208190406,09:19:10,王瑛,8,程序的循环结构:8、,0
2,8208190406,09:26:35,王瑛,7,0,6
1,8208190406,09:28:32,王瑛,8,程序的循环结构:8、,0
2,8208190406,09:30:14,王瑛,8,0,5
1,8208190406,09:31:07,王瑛,8,程序的循环结构:8、,0
2,8208190406,09:31:36,王瑛,7,0,7
1,8208190406,09:32:12,王瑛,8,程序的循环结构:8、,0
2,8208190406,09:33:58,王瑛,8,0,6
1,8208190406,09:47:21,王瑛,9,程序的循环结构:9、,0
2,8208190406,09:49:02,王瑛,9,0,8
1,8208190406,09:51:12,王瑛,9,程序的循环结构:9、,0
2,8208190406,09:51:43,王瑛,8,0,8
1,8208190406,09:52:29,王瑛,9,程序的循环结构:9、,0
2,8208190406,09:52:52,王瑛,8,0,8
1,8208190406,09:53:26,王瑛,8,程序的循环结构:8、,0
2,8208190406,09:53:47,王瑛,8,0,7
1,8208190406,09:54:08,王瑛,8,程序的循环结构:8、,0
2,8208190406,09:54:27,王瑛,7,0,7
1,8208190406,09:54:45,王瑛,8,程序的循环结构:8、,0
2,8208190406,09:55:44,王瑛,8,0,7
1,8208190406,09:56:02,王瑛,8,程序的循环结构:8、,0
2,8208190406,09:56:21,王瑛,8,0,8
1,8208190406,09:57:04,王瑛,8,程序的循环结构:8、,0
2,8208190406,09:57:26,王瑛,8,0,7
1,8208190406,09:57:35,王瑛,8,程序的循环结构:8、,0
2,8208190406,09:57:50,王瑛,7,0,7
1,8208190406,09:57:53,王瑛,8,程序的循环结构:8、,0
2,8208190406,09:58:12,王瑛,8,0,7
1,8208190406,09:58:49,王瑛,8,程序的循环结构:8、,0
1,8208190406,09:59:01,王瑛,8,程序的循环结构:8、,0
2,8208190406,09:59:09,王瑛,7,0,1
1,8208190406,10:10:31,王瑛,5,类_测试知识点:1、声明匿名函数:4、,0
2,8208190406,10:13:07,王瑛,4,0,2
1,8208190406,10:13:11,王瑛,5,类_测试知识点:1、声明匿名函数:4、,0
2,8208190406,10:13:33,王瑛,4,0,3
1,8208190406,10:13:38,王瑛,5,类_测试知识点:1、声明匿名函数:4、,0
2,8208190406,10:13:53,王瑛,4,0,4
1,8208190406,10:15:05,王瑛,9,程序的循环结构:9、,0
1,8208190406,10:16:19,王瑛,9,返回值:9、,0
2,8208190406,10:18:43,王瑛,9,0,8
1,8208190406,10:19:06,王瑛,9,返回值:9、,0
2,8208190406,10:19:39,王瑛,9,0,8
1,8208190406,10:19:45,王瑛,9,返回值:9、,0
2,8208190406,10:20:06,王瑛,9,0,8
1,8208190406,10:20:14,王瑛,9,返回值:9、,0
2,8208190406,10:20:33,王瑛,9,0,9
1,8208190406,10:21:32,王瑛,7,函数的基本语法及其作用:7、,0
2,8208190406,10:25:32,王瑛,7,0,4
1,8208190406,10:25:55,王瑛,7,函数的基本语法及其作用:7、,0
2,8208190406,10:26:26,王瑛,7,0,5
1,8208190406,10:26:38,王瑛,7,函数的基本语法及其作用:7、,0
2,8208190406,10:27:20,王瑛,7,0,6
1,8208190406,10:27:25,王瑛,7,函数的基本语法及其作用:7、,0
2,8208190406,10:27:46,王瑛,7,0,7
1,8208190406,10:29:11,王瑛,8,程序调用函数的步骤:5、递归调用:3、,0
2,8208190406,10:30:58,王瑛,7,0,6
1,8208190406,10:31:04,王瑛,8,程序调用函数的步骤:5、递归调用:3、,0
2,8208190406,10:31:23,王瑛,7,0,7
1,8208190406,10:32:34,王瑛,8,传递方式:6、实参和形参:2、,0
2,8208190406,10:36:15,王瑛,8,0,3
1,8208190406,10:36:26,王瑛,8,传递方式:6、实参和形参:2、,0
2,8208190406,10:36:57,王瑛,8,0,5
1,8208190406,10:47:50,王瑛,8,传递方式:6、实参和形参:2、,0
2,8208190406,10:49:49,王瑛,8,0,6
1,8208190406,10:50:06,王瑛,8,传递方式:6、实参和形参:2、,0
2,8208190406,10:50:38,王瑛,8,0,7
1,8208190406,10:51:00,王瑛,8,传递方式:6、实参和形参:2、,0
2,8208190406,10:51:27,王瑛,8,0,8
